Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Jarell Eddie,3,0.3,0.1,-0.05,+0.40,-0.45
Jordan Sibert,1,0.0,0.0,-0.06,+0.03,-0.09
Brendan Haywood,5,9.2,1.8,-0.06,-1.58,+1.52
Antonio Anderson,1,0.0,0.0,-0.07,-0.09,+0.02
Michael Gbinije,1,0.0,0.0,-0.08,-0.19,+0.10
Kentavious Caldwell-Pope,8,26.3,3.3,-0.07,+0.22,-0.29
Jeff Adrien,5,3.2,0.6,-0.09,-0.51,+0.42
Omari Johnson,1,0.1,0.1,-0.09,+0.29,-0.37
Steve Novak,8,6.0,0.7,-0.09,+1.07,-1.16
Josh Richardson,6,16.9,2.8,-0.09,-0.50,+0.40
Pape Sy,1,0.0,0.0,-0.10,-0.20,+0.10
Devin Cannady,1,0.1,0.1,-0.43,-0.43,+0.01
Talen Horton-Tucker,2,1.9,0.9,-0.30,-0.68,+0.38
Jeff Foote,1,0.1,0.1,-0.10,-0.02,-0.08
Nerlens Noel,7,13.7,2.0,-0.15,-2.65,+2.51
Ronald Dupree,1,0.0,0.0,-0.11,-0.08,-0.03
Robert Woodard II,1,0.1,0.1,-0.08,+0.05,-0.13
Jose Calderon,10,23.0,2.3,-0.12,+1.06,-1.18
Ray Spalding,2,0.2,0.1,-0.12,-0.55,+0.43
Roko Ukic,1,0.1,0.1,-0.12,+0.14,-0.26
Matisse Thybulle,2,4.2,2.1,+0.14,-1.50,+1.64
Phil Pressey,3,2.9,1.0,-0.13,-0.45,+0.32
DeJuan Blair,7,10.3,1.5,-0.13,-0.75,+0.62
Damion Lee,4,4.9,1.2,-0.08,-0.44,+0.35
Louis King,2,0.2,0.1,-0.19,-0.21,+0.02
Jameel Warney,1,0.0,0.0,-0.14,-0.12,-0.02
Luis Scola,8,20.9,2.6,-0.15,-0.23,+0.09
Mitchell Creek,1,0.1,0.1,-0.15,-0.04,-0.11
Vernon Macklin,1,0.2,0.2,-0.15,+0.24,-0.39
Michael Carter-Williams,8,14.3,1.8,-0.15,-0.77,+0.62
Billy Garrett,1,0.1,0.1,-0.16,-0.23,+0.08
Josh McRoberts,9,11.4,1.3,-0.16,-0.46,+0.31
Monte Morris,4,6.8,1.7,-0.18,+0.69,-0.87
Oliver Lafayette,1,0.0,0.0,-0.16,-0.08,-0.08
Antonio McDyess,2,4.3,2.2,-0.16,-1.66,+1.50
James Johnson,12,19.6,1.6,-0.23,-1.05,+0.82
Andray Blatche,5,11.8,2.4,-0.17,-0.26,+0.09
Marvin Williams,11,30.3,2.8,-0.17,-0.50,+0.33
Maurice Ager,1,0.0,0.0,-0.17,-0.15,-0.02
Ronnie Brewer,5,8.8,1.8,-0.17,-1.24,+1.07
Mario West,2,0.4,0.2,-0.17,-0.39,+0.23
Jerrelle Benimon,1,0.0,0.0,-0.17,+0.01,-0.19
Casper Ware,1,0.2,0.2,-0.18,-0.21,+0.04
Scotty Hopson,2,0.0,0.0,-0.18,-0.29,+0.12
Taylor Griffin,1,0.0,0.0,-0.18,-0.21,+0.03
Maxi Kleber,4,8.5,2.1,-0.18,-0.72,+0.55
Scott Machado,2,0.1,0.0,-0.18,-0.18,-0.00
Derrick Byars,1,0.1,0.1,-0.19,-0.02,-0.16
Josh Gray,2,0.2,0.1,-0.19,-0.31,+0.12
Nemanja Bjelica,6,11.4,1.9,-0.18,-0.09,-0.09
Emanuel Terry,1,0.0,0.0,-0.19,+0.08,-0.27
Patrick Patterson,11,21.0,1.9,-0.21,+0.07,-0.27
Alize Johnson,3,0.6,0.2,+0.24,+0.29,-0.04
Paul Reed,1,0.3,0.3,+0.58,+0.34,+0.24
Blake Ahearn,1,0.0,0.0,-0.20,-0.21,+0.01
DJ Stephens,2,0.0,0.0,-0.20,-0.21,+0.01
Chuck Hayes,7,10.1,1.4,-0.20,-1.40,+1.19
Jonas Jerebko,9,15.9,1.8,-0.21,-0.23,+0.02
Andre Emmett,1,0.1,0.1,-0.21,-0.13,-0.08
Grant Jerrett,1,0.1,0.1,-0.21,+0.33,-0.54
Darren Collison,10,29.1,2.9,-0.22,+0.68,-0.90
Marcus Haislip,1,0.1,0.1,-0.22,-0.30,+0.08
Raymond Felton,10,24.5,2.4,-0.22,+0.24,-0.46
Matt Williams Jr.,1,0.0,0.0,-0.22,-0.05,-0.17
Daniel Gafford,2,2.9,1.5,+0.84,-0.90,+1.75
Cedric Jackson,1,0.1,0.1,-0.22,-0.40,+0.18
Jarnell Stokes,3,0.2,0.1,-0.22,-0.19,-0.03
Shawn Marion,6,16.8,2.8,-0.22,-0.62,+0.40
Elijah Millsap,3,1.6,0.5,-0.23,-1.37,+1.14
Tim Ohlbrecht,1,0.0,0.0,-0.23,-0.12,-0.10
Tyrell Terry,1,0.1,0.1,-0.23,-0.16,-0.07
Brodric Thomas,1,0.3,0.3,-1.25,-1.33,+0.09
Tracy McGrady,3,4.4,1.5,-0.23,-0.71,+0.48
Alen Smailagic,2,0.3,0.1,-0.54,-0.56,+0.02
Sundiata Gaines,3,1.8,0.6,-0.23,-0.46,+0.23
Joey Dorsey,3,2.0,0.7,-0.24,-1.35,+1.11
Zaza Pachulia,10,18.3,1.8,-0.24,-1.16,+0.92
Andre Ingram,2,0.1,0.1,-0.24,-0.27,+0.03
C.J. Watson,8,13.6,1.7,-0.24,-0.14,-0.10
Bryce Dejean-Jones,1,0.4,0.4,-0.24,-0.83,+0.59
Marcus Cousin,1,0.0,0.0,-0.24,-0.17,-0.07
Nate Robinson,7,9.5,1.4,-0.25,+0.80,-1.05
Kevin Martin,7,16.7,2.4,-0.26,+1.29,-1.54
Willy Hernangomez,5,5.6,1.1,-0.14,+0.21,-0.35
Keldon Johnson,2,2.7,1.3,-0.53,-0.35,-0.18
Arinze Onuaku,3,0.2,0.1,-0.26,-0.10,-0.15
Rodrigue Beaubois,4,4.0,1.0,-0.26,-0.12,-0.14
Ignas Brazdeikis,2,0.2,0.1,-1.11,-0.70,-0.41
Devyn Marble,2,0.6,0.3,-0.26,-0.54,+0.28
Yao Ming,1,0.1,0.1,-0.26,-0.55,+0.28
